ISO 8601 UTC,q_cms_hb,Value,TP,NO3_source,TP_source
2021-10-01T00:00:00Z,NA,0.180472902,0.009107139,sensor,sensor
2021-10-01T00:15:00Z,NA,0.188115867,0.000235,sensor,sensor
2021-10-01T00:30:00Z,NA,0.187068034,0.000235,sensor,sensor
2021-10-01T00:45:00Z,NA,0.179503551,0.000235,sensor,sensor
2021-10-01T01:00:00Z,NA,0.172802655,0.007145476,sensor,sensor
2021-10-01T01:15:00Z,NA,0.179930144,0.000235,sensor,sensor
2021-10-01T01:30:00Z,NA,0.18010638,0.002597655,sensor,sensor
2021-10-01T01:45:00Z,NA,0.182844844,0.003075888,sensor,sensor
2021-10-01T02:00:00Z,NA,0.181294483,0.000235,sensor,sensor
2021-10-01T02:15:00Z,NA,0.188054529,0.000235,sensor,sensor
2021-10-01T02:30:00Z,NA,0.189625378,0.000235,sensor,sensor
2021-10-01T02:45:00Z,NA,0.184763199,0.000235,sensor,sensor
2021-10-01T03:00:00Z,NA,0.177680612,0.018332065,sensor,sensor
2021-10-01T03:15:00Z,NA,0.182530204,0.000235,sensor,sensor
2021-10-01T03:30:00Z,NA,0.179491659,0.002113033,sensor,sensor
2021-10-01T03:45:00Z,NA,0.18863711,0.000235,sensor,sensor
2021-10-01T04:00:00Z,NA,0.18145944,0.000235,sensor,sensor
2021-10-01T04:15:00Z,0.280511286,0.192188666,0.000235,sensor,sensor
2021-10-01T04:30:00Z,0.283537589,0.191120581,0.000235,sensor,sensor
2021-10-01T04:45:00Z,0.283537589,0.197585944,0.000235,sensor,sensor
2021-10-01T05:00:00Z,0.283537589,0.178263341,0.005914768,sensor,sensor
2021-10-01T05:15:00Z,0.283537589,0.193440067,0.000235,sensor,sensor
2021-10-01T05:30:00Z,0.283537589,0.185203466,0.000235,sensor,sensor
2021-10-01T05:45:00Z,0.277503314,0.195022691,0.000235,sensor,sensor
2021-10-01T06:00:00Z,0.286582251,0.195567962,0.000235,sensor,sensor
2021-10-01T06:15:00Z,0.280511286,0.1832895,0.000235,sensor,sensor
2021-10-01T06:30:00Z,0.277503314,0.194406834,0.000235,sensor,sensor
2021-10-01T06:45:00Z,0.27451365,0.191299225,0.000235,sensor,sensor
2021-10-01T07:00:00Z,0.262737546,0.192853455,0.001741567,sensor,sensor
2021-10-01T07:15:00Z,0.265654241,0.190832417,0.000235,sensor,sensor
2021-10-01T07:30:00Z,0.262737546,0.201376081,0.000235,sensor,sensor
2021-10-01T07:45:00Z,0.262737546,0.192989969,0.000235,sensor,sensor
2021-10-01T08:00:00Z,0.262737546,0.200019328,0.000235,sensor,sensor
2021-10-01T08:15:00Z,0.259839028,0.201211936,0.000235,sensor,sensor
2021-10-01T08:30:00Z,0.259839028,0.199979517,0.000235,sensor,sensor
2021-10-01T08:45:00Z,0.256958662,0.196257411,0.000235,sensor,sensor
2021-10-01T09:00:00Z,0.259839028,0.208624132,0.000235,sensor,sensor
2021-10-01T09:15:00Z,0.259839028,0.207381751,0.000235,sensor,sensor
2021-10-01T09:30:00Z,0.256958662,0.201974609,0.000235,sensor,sensor
2021-10-01T09:45:00Z,0.259839028,0.209936514,0.000235,sensor,sensor
2021-10-01T10:00:00Z,0.259839028,0.205426965,0.000235,sensor,sensor
2021-10-01T10:15:00Z,0.251252277,0.213724929,0.000235,sensor,sensor
2021-10-01T10:30:00Z,0.251252277,0.211320933,0.000235,sensor,sensor
2021-10-01T10:45:00Z,0.256958662,0.217821516,0.000235,sensor,sensor
2021-10-01T11:00:00Z,0.251252277,0.223217399,0.000235,sensor,sensor
2021-10-01T11:15:00Z,0.25409642,0.219477566,0.005476854,sensor,sensor
2021-10-01T11:30:00Z,0.248426207,0.22039414,0.000235,sensor,sensor
2021-10-01T11:45:00Z,0.248426207,0.214202519,0.008665656,sensor,sensor
