event_ID,study year,event_start,event_end,Event type,Site
1,1,12/2/2021 11:30,12/6/2021 3:00,,Wade
2,1,12/6/2021 3:00,12/9/2021 19:45,,Wade
3,1,12/11/2021 7:30,12/15/2021 21:00,,Wade
4,1,2/17/2022 6:15,3/6/2022 9:00,,Wade
5,1,3/6/2022 9:00,3/11/2022 14:30,,Wade
6,1,3/16/2022 13:00,3/24/2022 1:00,,Wade
7,1,3/24/2022 1:00,3/31/2022 11:00,,Wade
8,1,3/31/2022 11:00,4/6/2022 13:15,,Wade
9,1,4/6/2022 13:15,4/11/2022 13:00,,Wade
10,1,4/11/2022 13:00,4/18/2022 14:15,,Wade
11,1,4/18/2022 14:15,4/21/2022 12:15,,Wade
12,1,4/21/2022 12:15,4/25/2022 13:15,,Wade
13,1,4/25/2022 13:15,5/1/2022 11:30,,Wade
14,1,5/1/2022 11:30,5/14/2022 17:15,,Wade
15,1,5/14/2022 17:15,5/21/2022 16:30,,Wade
16,1,5/21/2022 16:30,5/27/2022 0:15,,Wade
1,2,12/3/2022 9:30,12/6/2022 11:30,rain,Wade
2,2,12/6/2022 11:30,12/12/2022 20:15,rain,Wade
3,2,12/23/2022 5:15,12/29/2022 18:00,ROS,Wade
4,2,12/29/2022 18:00,1/4/2023 3:30,thermal,Wade
5,2,1/4/2023 3:30,1/8/2023 1:45,rain,Wade
6,2,1/8/2023 1:45,1/11/2023 2:45,rain,Wade
7,2,1/12/2023 20:00,1/15/2023 19:45,rain,Wade
8,2,2/9/2023 15:45,2/15/2023 11:30,ROS,Wade
9,2,2/15/2023 11:30,2/17/2023 17:15,ROS,Wade
10,2,2/17/2023 17:15,2/21/2023 17:15,ROS,Wade
11,2,3/17/2023 13:45,3/22/2023 12:00,thermal,Wade
12,2,3/22/2023 12:00,3/27/2023 11:15,thermal,Wade
13,2,4/1/2023 7:15,4/4/2023 12:00,freshet,Wade
14,2,4/4/2023 12:00,4/9/2023 12:00,freshet,Wade
15,2,4/9/2023 12:00,4/21/2023 16:45,freshet,Wade
16,2,4/21/2023 16:45,4/30/2023 13:45,freshet,Wade
17,2,4/30/2023 13:45,5/6/2023 10:15,freshet,Wade
