# Precip_Increm.daily_precip@Wade_Met.20221001.csv generated at 2026-01-14 16:03:13 (UTC-05:00) by AQUARIUS Time-Series 21.3.212.0
# 
# Time-series identifier: Precip Increm.daily_precip@Wade_Met
# Location: Wade Brook
# UTC offset: (UTC+00:00)
# Value units: mm
# Value parameter: Precip Increm
# Interpolation type: Preceding Totals
# Time-series type: Derived
# 
# Export options: Corrected signal from 2022-10-01T00:00:00Z to 2025-09-30T00:00:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+00:00),Value,Approval Level,Grade,Qualifiers
2022-10-01T04:00:00Z,2022-10-01 04:00:00,0,Working,0,
2022-10-02T04:00:00Z,2022-10-02 04:00:00,0,Working,0,
2022-10-03T04:00:00Z,2022-10-03 04:00:00,0,Working,0,
2022-10-04T04:00:00Z,2022-10-04 04:00:00,0,Working,0,
2022-10-05T04:00:00Z,2022-10-05 04:00:00,0,Working,0,
2022-10-06T04:00:00Z,2022-10-06 04:00:00,0,Working,0,
2022-10-07T04:00:00Z,2022-10-07 04:00:00,0.4,Working,0,
2022-10-08T04:00:00Z,2022-10-08 04:00:00,8.4,Working,0,
2022-10-09T04:00:00Z,2022-10-09 04:00:00,0,Working,0,
2022-10-10T04:00:00Z,2022-10-10 04:00:00,3.2,Working,0,
2022-10-11T04:00:00Z,2022-10-11 04:00:00,0,Working,0,
2022-10-12T04:00:00Z,2022-10-12 04:00:00,0,Working,0,
2022-10-13T04:00:00Z,2022-10-13 04:00:00,0,Working,0,
2022-10-14T04:00:00Z,2022-10-14 04:00:00,52.2,Working,0,
2022-10-15T04:00:00Z,2022-10-15 04:00:00,12,Working,0,
2022-10-16T04:00:00Z,2022-10-16 04:00:00,0,Working,0,
2022-10-17T04:00:00Z,2022-10-17 04:00:00,0,Working,0,
2022-10-18T04:00:00Z,2022-10-18 04:00:00,3.6,Working,0,
2022-10-19T04:00:00Z,2022-10-19 04:00:00,6.2,Working,0,
2022-10-20T04:00:00Z,2022-10-20 04:00:00,0,Working,0,
2022-10-21T04:00:00Z,2022-10-21 04:00:00,0,Working,0,
2022-10-22T04:00:00Z,2022-10-22 04:00:00,0,Working,0,
2022-10-23T04:00:00Z,2022-10-23 04:00:00,0,Working,0,
2022-10-24T04:00:00Z,2022-10-24 04:00:00,0,Working,0,
2022-10-25T04:00:00Z,2022-10-25 04:00:00,1.2,Working,0,
2022-10-26T04:00:00Z,2022-10-26 04:00:00,0,Working,0,
2022-10-27T04:00:00Z,2022-10-27 04:00:00,9.4,Working,0,
2022-10-28T04:00:00Z,2022-10-28 04:00:00,0.4,Working,0,
2022-10-29T04:00:00Z,2022-10-29 04:00:00,0,Working,0,
2022-10-30T04:00:00Z,2022-10-30 04:00:00,0,Working,0,
2022-10-31T04:00:00Z,2022-10-31 04:00:00,0,Working,0,
2022-11-01T04:00:00Z,2022-11-01 04:00:00,0.2,Working,0,
2022-11-02T04:00:00Z,2022-11-02 04:00:00,2.2,Working,0,
2022-11-03T04:00:00Z,2022-11-03 04:00:00,0,Working,0,
2022-11-04T04:00:00Z,2022-11-04 04:00:00,0.2,Working,0,
2022-11-05T04:00:00Z,2022-11-05 04:00:00,0,Working,0,
2022-11-06T04:00:00Z,2022-11-06 04:00:00,0,Working,0,
2022-11-07T04:00:00Z,2022-11-07 04:00:00,35.2,Working,0,
2022-11-08T04:00:00Z,2022-11-08 04:00:00,0,Working,0,
2022-11-09T04:00:00Z,2022-11-09 04:00:00,0,Working,0,
2022-11-10T04:00:00Z,2022-11-10 04:00:00,0,Working,0,
2022-11-11T04:00:00Z,2022-11-11 04:00:00,0,Working,0,
2022-11-12T04:00:00Z,2022-11-12 04:00:00,15,Working,0,
2022-11-13T04:00:00Z,2022-11-13 04:00:00,17.2,Working,0,
2022-11-14T04:00:00Z,2022-11-14 04:00:00,1,Working,0,
2022-11-15T04:00:00Z,2022-11-15 04:00:00,0,Working,0,
2022-11-16T04:00:00Z,2022-11-16 04:00:00,0,Working,0,
2022-11-17T04:00:00Z,2022-11-17 04:00:00,0,Working,0,
2022-11-18T04:00:00Z,2022-11-18 04:00:00,0,Working,0,
2022-11-19T04:00:00Z,2022-11-19 04:00:00,0,Working,0,
2022-11-20T04:00:00Z,2022-11-20 04:00:00,0,Working,0,
2022-11-21T04:00:00Z,2022-11-21 04:00:00,0,Working,0,
2022-11-22T04:00:00Z,2022-11-22 04:00:00,0,Working,0,
2022-11-23T04:00:00Z,2022-11-23 04:00:00,0,Working,0,
2022-11-24T04:00:00Z,2022-11-24 04:00:00,0,Working,0,
2022-11-25T04:00:00Z,2022-11-25 04:00:00,0,Working,0,
2022-11-26T04:00:00Z,2022-11-26 04:00:00,11.6,Working,0,
2022-11-27T04:00:00Z,2022-11-27 04:00:00,0.2,Working,0,
2022-11-28T04:00:00Z,2022-11-28 04:00:00,9.8,Working,0,
2022-11-29T04:00:00Z,2022-11-29 04:00:00,1.6,Working,0,
2022-11-30T04:00:00Z,2022-11-30 04:00:00,0,Working,0,
2022-12-01T04:00:00Z,2022-12-01 04:00:00,15.2,Working,0,
2022-12-02T04:00:00Z,2022-12-02 04:00:00,0,Working,0,
2022-12-03T04:00:00Z,2022-12-03 04:00:00,1,Working,0,
2022-12-04T04:00:00Z,2022-12-04 04:00:00,10.4,Working,0,
2022-12-05T04:00:00Z,2022-12-05 04:00:00,0,Working,0,
2022-12-06T04:00:00Z,2022-12-06 04:00:00,0.2,Working,0,
2022-12-07T04:00:00Z,2022-12-07 04:00:00,12,Working,0,
2022-12-08T04:00:00Z,2022-12-08 04:00:00,13.8,Working,0,
2022-12-09T04:00:00Z,2022-12-09 04:00:00,1.2,Working,0,
2022-12-10T04:00:00Z,2022-12-10 04:00:00,0,Working,0,
2022-12-11T04:00:00Z,2022-12-11 04:00:00,0,Working,0,
2022-12-12T04:00:00Z,2022-12-12 04:00:00,0,Working,0,
2022-12-13T04:00:00Z,2022-12-13 04:00:00,0,Working,0,
2022-12-14T04:00:00Z,2022-12-14 04:00:00,0,Working,0,
2022-12-15T04:00:00Z,2022-12-15 04:00:00,0,Working,0,
