Sample ID,Site,Type,Datetime,Groundwater,Soil water lysimeter,Snowmelt lysimeter,Sum Fractions
RI23-1009,Wade,Grab/Isco,2023-02-15 15:00:00,0.999999999999999,1.0547118733939E-15,5.55111512312578E-17,1
RI23-1010,Wade,Grab/Isco,2023-02-15 19:00:00,0.926246059648692,1.71244777152447E-16,0.0737539403513077,1
RI23-1011,Wade,Grab/Isco,2023-02-15 23:00:00,0.815417054846479,6.93889390390723E-17,0.184582945153521,1
RI23-1025,Wade,Grab,2023-02-15 12:00:00,0.920018478504319,-1.37801470340357E-15,0.0799815214956821,1
RI23-1012,Wade,Grab/Isco,2023-02-16 03:00:00,0.40822020909184,7.47327004967102E-16,0.59177979090816,1
RI23-1014,Wade,Grab/Isco,2023-02-16 11:00:00,0.370524590406176,2.69509385662164E-15,0.629475409593821,1
RI23-1028,Wade,Grab/Isco,2023-02-16 14:00:00,0.372257181342943,-3.96101540836422E-14,0.627742818657097,1
RI23-1029,Wade,Grab/Isco,2023-02-16 20:00:00,0.348771301832068,1.57137757667014E-14,0.651228698167917,1
RI23-1030,Wade,Grab/Isco,2023-02-17 02:00:00,0.517538712092276,-6.39375848957247E-16,0.482461287907725,1
RI23-1031,Wade,Grab/Isco,2023-02-17 08:00:00,0.435792591930429,-6.0395482018305E-16,0.564207408069571,1
RI23-1032,Wade,Baseflow,2023-02-17 11:30:00,0.514592623163722,-1.5946553973134E-14,0.485407376836294,1
RI23-1039,Wade,Grab/Isco,2023-03-22 18:00:00,0.988927542122776,0.0110724578772232,1.30265268538562E-15,1
RI23-1040,Wade,Grab/Isco,2023-03-23 00:00:00,0.827605101501955,0.137457510699169,0.0349373877988759,1
RI23-1041,Wade,Grab/Isco,2023-03-23 06:00:00,0.766336275007438,0.233663724992562,1.40241551011E-16,1
RI23-1058,Wade,Grab/Isco,2023-03-24 06:00:00,1.84247411256615E-13,0.919960091300598,0.0800399086992178,1
RI23-1059,Wade,Grab/Isco,2023-03-24 12:00:00,0.287984724069191,0.712015275930824,-1.44612283385563E-14,1
RI23-1064,Wade,Grab/Isco,2023-03-31 08:00:00,0.953711340124292,0.0462886598757076,4.06667181883138E-16,1
RI23-1065,Wade,Grab/Isco,2023-03-31 14:00:00,0.780491826789835,9.45692175103144E-17,0.219508173210165,1
RI23-1066,Wade,Grab/Isco,2023-03-31 20:00:00,0.844980804806705,0.155019195193296,1.23867937385996E-17,1
RI23-1067,Wade,Grab/Isco,2023-04-01 02:00:00,0.852297870301178,0.14770212969882,1.95965732287231E-15,1
RI23-1068,Wade,Grab/Isco,2023-04-01 08:00:00,0.935320271660356,0.064679728339643,5.46197806248658E-16,1
RI23-1070,Wade,Grab/Isco,2023-04-01 20:00:00,0.0123776301087351,0.987622369891264,6.19729961792714E-16,1
RI23-1093,Wade,Grab/Isco,2023-04-10 06:00:00,0.244741300904242,0.381524122618111,0.373734576477648,1
RI23-1094,Wade,Grab/Isco,2023-04-10 12:00:00,0.219360345279931,0.173044098807422,0.607595555912648,1
RI23-1095,Wade,Grab/Isco,2023-04-10 18:00:00,0.0144891896460694,0.231675482880669,0.753835327473262,1
RI23-1097,Wade,Grab/Isco,2023-04-11 06:00:00,3.98804389459529E-15,0.18961875041955,0.810381249580446,1
RI23-1100,Wade,Grab/Isco,2023-04-11 16:00:00,8.04157099829118E-14,2.21073159778484E-14,0.999999999999897,1
RI23-1101,Wade,Grab/Isco,2023-04-12 00:00:00,1.66439716727488E-13,-1.16063408883704E-13,0.99999999999995,1
RI23-1071,Wade,Grab/Isco,2023-04-02 02:00:00,9.62618264147033E-14,0.999999999999811,9.23150444975818E-14,1
RI23-1072,Wade,Grab/Isco,2023-04-02 08:00:00,2.66453525910038E-15,0.999999999999998,-6.10622663543836E-16,1
RI23-1073,Wade,Grab/Isco,2023-04-02 14:00:00,0.0081239330000034,0.991876066999999,-2.36480987625226E-15,1
RI23-1074,Wade,Grab/Isco,2023-04-02 20:00:00,0.100074683940194,0.89992531605982,-1.39420809966428E-14,1
RI23-1075,Wade,Grab/Isco,2023-04-03 02:00:00,0.113193370581637,0.886806629418361,1.55333645251998E-15,1
RI23-1077,Wade,Grab/Isco,2023-04-03 14:00:00,0.248482409808521,0.377916106683959,0.37360148350752,1
RI23-1078,Wade,Grab/Isco,2023-04-03 22:00:00,0.294031496821245,0.705968503178735,2.0735258128568E-14,1
RI23-1080,Wade,Grab/Isco,2023-04-04 14:00:00,0.282022567949454,0.582839562065168,0.135137869985378,1
RI23-1081,Wade,Grab/Isco,2023-04-05 14:00:00,0.279745947415239,0.687707060262431,0.0325469923223303,1
RI23-1082,Wade,Grab/Isco,2023-04-05 22:00:00,5.55111512312578E-17,5.55111512312578E-17,1,1
RI23-1048,Wade,Grab/Isco,2023-04-06 12:00:00,1.12956552200332E-13,2.59237076249974E-14,0.999999999999861,1
RI23-1049,Wade,Grab/Isco,2023-04-07 00:00:00,7.21384987336777E-15,0.016999934878801,0.983000065121192,1
RI23-1050,Wade,Grab/Isco,2023-04-07 06:00:00,-1.81060382873586E-13,0.0583592580043044,0.941640741995877,1
RI23-1051,Wade,Grab/Isco,2023-04-07 12:00:00,1.06241745563951E-14,0.458381469095049,0.541618530904941,1
RI23-1052,Wade,Grab/Isco,2023-04-07 17:00:00,0.0168494275032969,0.0326345334377827,0.950516039058921,1
